summary,chat_transcipt_body
Yaniv wants to know why he can't renew his lease even though he has already signed the lease.,"Chat Started: Thursday, November 17, 2022,  (-0600) Chat Origin: East Tier 1 Agent Makayla M ( 2s ) Makayla M: How can we help? Enter a question to start a conversation with a Live Support Agent. ( 26s ) Yaniv: why do residents appear on renewals tab to make a rwnwal offer for even though they already signed their lease? ( 31s ) Yaniv: because they're month to month? ( 54s ) Yaniv: how do I remove carina, Isaiah and Nadia from the list? ( 1m 29s ) Makayla M: Hey Yaniv, could you please share a link to the renewals page and I can take a look at it for you? ( 2m 24s ) Yaniv: ya ( 2m 31s ) Yaniv: ( 4m 57s ) Makayla M: Gotcha so on their tenant page under the ""lease information"" section you can see that the last time they signed a lease was 09/28/2022, and they are month to month so it will show that they do not have a current lease and are eligible for a renewal: ( 10m 42s ) Yaniv: I see ( 10m 54s ) Yaniv: also is there anyway to run a report for multiple properties? ( 11m 45s ) Yaniv: when I want to see an income statement for multiple properties, it does not allow me? I created a property group with all of our properties but it does not break up each property...its a lump sum of the financials ( 11m 58s ) Yaniv: can I create a custom report for this? ( 16m 6s ) Makayla M: For the income statement, it would have to be run separately, it cannot run multiple properties without clumping them together. ( 22m 20s ) Yaniv: is there anyway you can strip them out? ( 22m 28s ) Yaniv: create a custom report on report builder? ( 24m 39s ) Makayla M: Not for the way you are specifying unfortunattely ( 27m 4s ) Makayla M: Is there anything else for today? :) ( 28m 57s ) Makayla M: Please feel free to reach back out with a fresh support request or chat when you return. We are happy to assist!"
Nadaya has a co-signed that failed a screening and she wants to delete their application.,"Chat Started: Tuesday, November 01, 2022,  (-0700) Chat Origin: East Tier 2 Agent Spencer S ( 2s ) Spencer S: How can we help? Enter a question to start a conversation with a Live Support Agent. ( 17s ) Spencer S: Good morning Nadaya! How can I help you today? ( 27s ) Nadaya: Good Morning! I have a co-signed that failed a screening and was curious how I can delete their application? ( 59s ) Spencer S: Do you have a link to the application handy by chance? ( 1m 17s ) Nadaya: link? ( 1m 26s ) Nadaya: ( 3m 4s ) Spencer S: That is perfect thank you! It looks like because this application has been screened as you said that the application can't be deleted, but you can edit the status to Canceled to remove it from your active applications list ( 3m 28s ) Nadaya: How do I do this/ ( 4m 7s ) Spencer S: From the application page if you click ""Edit"" in the Applicant Summary section you can change the Status dropdown from Decision Pending to Canceled ( 4m 8s ) Nadaya: Ohh I think I found it ( 4m 15s ) Spencer S: Excellent! ( 4m 27s ) Nadaya: What if I placed it as denied? ( 4m 32s ) Nadaya: Would that also remove him? ( 4m 42s ) Nadaya: Or does it have to be canceled? ( 4m 59s ) Spencer S: Yes denied would also clear it as well based on your filter settings! ( 5m 22s ) Nadaya: Perfect. That is all I needed. Still trying to learn the ends and outs of AppFolio ( 5m 31s ) Nadaya: Thank you for your help! ( 5m 52s ) Spencer S: I feel that exact way sometimes as well, there is always more to learn with the Appfolio software ) ( 6m 1s ) Nadaya: Have a good one. ( 6m 2s ) Spencer S: You are very welcome, and I am happy I could help today! ( 6m 12s ) Spencer S: Thank you so much, and I hope you do as well"
"Wendell wants to create a lease with the same format as the old lease he used before Appfolio, but the format does not conform to his lease. ","Chat Started: Friday, November 11, 2022,  (-0600) Chat Origin: East Tier 1 Agent Eric S ( 2s ) Eric S: How can we help? Enter a question to start a conversation with a Live Support Agent. ( 1m 4s ) Wendell: Hello Eric. We want to create a lease with the same formatting as our old lease we used before Appfolio. I already created a lease in Appfolio but the formatting does not conform to our lease. ( 2m 18s ) Eric S: are you using appfolio's online lease template? ( 7m 37s ) Wendell: Yes ( 9m 17s ) Eric S: ok are you able to add the content that you need? ( 9m 38s ) Wendell: Yes, but the format is not desirable. ( 10m 2s ) Eric S: that may be a feature suggestion, truthfully. there are not many formatting options. ( 10m 12s ) Eric S: you can obviously format the text ( 10m 17s ) Eric S: and add in additional items ( 10m 35s ) Eric S: but appfolio is not as fluid as a microsoft word in that area ( 10m 55s ) Wendell: The template that Appfilio provides, is it the only template provided? ( 11m 13s ) Eric S: yes it is a built in online template. ( 11m 23s ) Eric S: the alternative is to use PDF Form Templates ( 11m 49s ) Eric S: ( 12m 46s ) Wendell: Can the PDF form be used as the initial, primary lease? ( 12m 58s ) Eric S: yes, exactly ( 13m 4s ) Eric S: its the alternative to using appfolios template ( 13m 14s ) Eric S: if you had your own PDF document, you can actually have them sign that ( 15m 41s ) Wendell: So I can send a PDF form template from Appfolio after their application has been approved? ( 16m 29s ) Eric S: yes during their move in you can do this ( 16m 37s ) Eric S: you can even do this after the move in ( 16m 56s ) Eric S: this is a newish feature so people are just now starting to utilize it ( 17m 19s ) Wendell: Ok. Thank you ( 20m 37s ) Eric S: you're welcome!"
Stephen M explains to Michelle how to delete a lease that has been signed and send a new one. Michelle needs to create a new lease template.,"Chat Started: Tuesday, November 01, 2022,  (+0000) Chat Origin: East Tier 1 Agent Stephen M ( 1s ) Stephen M: How can we help? Enter a question to start a conversation with a Live Support Agent. ( 13s ) Stephen M: Hey! How can I help? ( 33s ) Michelle: how can i delete a lease that has been signed? ( 1m 18s ) Stephen M: Do you have a link to the tenant page? ( 1m 40s ) Michelle: ( 3m 2s ) Stephen M: Just wanted to confirm it was fully executed. Since the lease is fully executed, we cannot cancel it. Are you wanting to send a new lease? ( 3m 31s ) Michelle: yes it is fully executed. i can send a new lease ( 4m 6s ) Stephen M: Gotcha! Your steps are as follows 1. Head to the ""Lease Information"" section of the tenant page. 2. Press EDIT and remove the information listed. 3. Send a new lease. ( 4m 20s ) Stephen M: Since leases are official documents, we cannot remove them. ( 4m 35s ) Stephen M: The newest lease you send will be the one the system considers ""active"". ( 5m 19s ) Michelle: its not giving me an option to remove info ( 6m 45s ) Stephen M: If you press EDIT, you should be able to remove the dates Lease Signed 11/01/2022 Month To Month No Lease From 11/01/2022 Lease To 10/31/2023 ( 6m 57s ) Stephen M: Not the lease itself. ( 8m 36s ) Michelle: would i send the new lease as if he's a prospective tenant? the way we usually do? ( 9m 23s ) Stephen M: You can use the send lease task! ( 9m 29s ) Michelle: we use pdf templates because we never were taught how to create a lease ( 10m 13s ) Michelle: i had to upload under odf form templates our lease ( 11m 30s ) Michelle: we dont even know if there's a way to upload a blank lease and appfolio inputting all the info on its own instead of us adding the info ( 12m 32s ) Stephen M: Gotcha you can use that option if you prefer! Either of the two will suffice lease or PDF forms! You can create lease templates here You can use this help article to walk you through creating a template No you would have to create the lease! There is a sample template provided for you to use / duplicate. To upload, you would use the PDF FORM template feature. ( 15m 18s ) Michelle: ok thank you ( 16m 9s ) Stephen M: No problem, Michelle. At any point, while creating a lease, please let us know if you have any questions! Should be quick responses for you over chat! ( 16m 12s ) Stephen M: Have a great rest of your day! ( 16m 40s ) Michelle: i have one more question ( 17m 23s ) Michelle: can i create a new lease template instead of using appfolios lease template? ( 18m 10s ) Stephen M: No the AppFolio lease template after you click ""New lease template"" is the option at this time. ( 18m 36s ) Michelle: ok so then we have to use the pdf form for our lease? ( 19m 7s ) Stephen M: If you need to upload and match yours exactly, correct. ( 19m 31s ) Michelle: ok then ( 20m 31s ) Stephen M: Wanted to provide all options and make sure they're available to you! Hope you have a great day, Michelle! ( 20m 50s ) Michelle: you too!"
Emily is having issues with sending e-renewal invitations to her tenants. ,"Chat Started: Thursday, November 03, 2022,  (-0500) Chat Origin: East Tier 1 Agent Jamie P ( 1s ) Jamie P: How can we help? Enter a question to start a conversation with a Live Support Agent. ( 14s ) Jamie P: Hi Emily, How can I help you today? ( 23s ) Emily: it is not letting me send a renewal to our residents and not letting me add an esignature. ( 44s ) Jamie P: You do not add your signature until after the tenant has signed and completed there's. ( 51s ) Emily: i don't know what to do and I feel like i am not understanding even after reading tutorials. ( 1m 1s ) Emily: yes, but it will not let me send them to the tenants. ( 1m 7s ) Emily: it only lets me print to PDF not send ( 1m 35s ) Jamie P: Do they have an email on their tenant page and have their online portal set up? ( 1m 48s ) Emily: no, they do not have a portal set up. but they do have 2 unique email addresses. ( 2m 6s ) Jamie P: They need to activate their portals. ( 2m 51s ) Emily: ok. so in order to do an e-renewal, every financially responsible person needs a unique email and also to activate the portal? ( 3m 6s ) Jamie P: Yes. ( 3m 33s ) Emily: are you able to look at our account and the issue I am having? ( 3m 55s ) Emily: so when I send this person an invite to their portal, it is saying they don't have a unique email---but they do. ( 3m 59s ) Jamie P: What is their name? ( 4m 51s ) Emily: ah, i'm sorry. I refreshed the page after changing it and it went through. ( 5m 6s ) Jamie P: Awesome. you ( 5m 16s ) Jamie P: hg ( 5m 18s ) Jamie P: Have a great rest of your day! ( 5m 28s ) Emily: thank you jamie. appreciate your clarification. ( 5m 34s ) Jamie P: Not a problem!"
Brandon is trying to adjust the settings of his rental application. ,"Chat Started: Wednesday, November 09, 2022,  (-0600) Chat Origin: East Tier 1 Agent Jamie P ( 1s ) Jamie P: How can we help? Enter a question to start a conversation with a Live Support Agent. ( 31s ) Jamie P: Hi Brandon, How can I help you today? ( 32s ) Brandon: Heyo. Hopefully this is something really quick and easy, but I'm just trying to figure out where the settings are to adjust the application ( 42s ) Brandon: Particularly, the housing history section ( 1m 6s ) Jamie P: It is under the General Setting>Leasing> Rental Application Customization ( 2m 1s ) Brandon: I do see the section on that page that makes the entire housing history section optional, does that mean that there's no way to make individual parts required or not? ( 2m 35s ) Jamie P: Like individual questions in the housing history section? ( 2m 49s ) Brandon: yeah, like ""Landlord email address"" ( 3m 17s ) Jamie P: No. It is all or none. ( 3m 27s ) Jamie P: They can put in na@gmail.com to pass by the section, ( 4m 16s ) Brandon: ok, i think just making it all optional will have to do. Cool, thanks! ( 4m 23s ) Jamie P: Of course! Have a great rest of your day! ( 4m 31s ) Brandon: :-)"
"When generating a lease, the unit numbers are not showing on the lease. ","Chat Started: Friday, November 18, 2022,  (-0800) Chat Origin: West Tier 1 Agent Victor E ( 1s ) Victor E: How can we help? Enter a question to start a conversation with a Live Support Agent. ( 41s ) Del: When generating a lease the unit numbers are not showing on the lease. ( 1m 17s ) Victor E: Hello Del, what is the name of the lease you are using to send the tenant? also the name of the tenant you are sending the lease to? ( 3m 15s ) Del: We are using a template called Bridge lease template, K3 Sage Landa ( 7m 1s ) Victor E: Looking at the lease the insert field used is called ""unit address"" It pulls what the address is listed on the unit page. the unit address says ""393 Hamilton St Costa Mesa, CA 92627"" for Costa Mirage K3 ( 11m 20s ) Del: Got it, I just made the change and it did solve the issue. It looks like the unit #s were not added correctly when my properties were set up. ( 12m 33s ) Victor E: Great glad that is resolved! You may have to check the other units in case it is the same with them as well ( 12m 58s ) Del: I will make the change to all units, time consuming but as long as it corrects the issue Im willing. ( 13m 9s ) Del: Thanks a million, ( 13m 32s ) Victor E: You're welcome! Have a great rest of your day Del!"
Joanna has new applicants asking for an online application to be in Spanish.,"Chat Started: Wednesday, October 26, 2022,  (-0400) Chat Origin: East Tier 1 Agent Rachel H ( 2s ) Rachel H: How can we help? Enter a question to start a conversation with a Live Support Agent. ( 31s ) Joanna: we have new applicants asking for an online application to be in spanish ( 3m 57s ) Rachel H: Hi Joanna, at this time, we do not have an application in Spanish. ( 8m 59s ) Joanna: ok"
Jessica added Jonathan Jossick to a unit without screening first. ,"Chat Started: Wednesday, November 09, 2022,  (-0800) Chat Origin: APM+ East Agent Ramiro E ( 3s ) Ramiro E: How can we help? Enter a question to start a conversation with a Live Support Agent. ( 22s ) Ramiro E: Hello Jessica, how may I assist you today? ( 41s ) Jessica: i added an applicant to existing unit without screening first ( 1m 28s ) Jessica: From rental applications I added tenant to unit so now i dont have the option to ""screen now"" ( 2m 8s ) Ramiro E: Once an applicant has been converted or added to a unit, you would not be able to screen them. ( 2m 19s ) Ramiro E: Can you provide me the name of the Applicant please? ( 2m 42s ) Jessica: Yes, Jonathan Jossick unit E2 ( 2m 59s ) Ramiro E: Thank you, one moment please ( 3m 10s ) Jessica: Thank you ( 5m 31s ) Ramiro E: Thank you for providing the tenant name. ( 6m 38s ) Ramiro E: Since the applicant was already added to a unit, the application is no longer active. Because it is no longer active, you cannot screen them ( 9m 24s ) Jessica: Is there a way to delete him from the system so i can screen him? ( 9m 47s ) Jessica: my goal is to be able to screen this person. ( 10m 42s ) Ramiro E: You can hide tenant, however, he will need to submit a new application ( 11m 52s ) Jessica: ok, thank you! ( 12m 29s ) Ramiro E: You are welcome, hope you have a great rest of your day :)"
Vivian needs to upload a current lease into the lease document section on the tenant's page.,"Chat Started: Wednesday, March 09, 2022,  (-0800) Chat Origin: West 1-4 Agent Jeff W ( 2m 13s ) Jeff W: How can we help? Enter a question to start a conversation with a Live Support Agent. ( 2m 22s ) Jeff W: Hello Vivian! ( 2m 26s ) Jeff W: Thank you for waiting! ( 2m 28s ) Jeff W: How can I help you? :-) ( 2m 40s ) Vivian: Hi Jeff, ( 3m 16s ) Vivian: How do you upload a pdf of a current lease into the lease document section on the tenant's page? ( 4m 22s ) Jeff W: You can upload it to the bottom of the tenant's Tenant Page. Can you give me the name of an example tenant so I can look at your set up? :) ( 5m 29s ) Vivian: We did upload it into the document section at the bottom. Just don't know how to get it into the lease section above. ( 5m 47s ) Jeff W: Got it. Can I have an example tenant? ( 6m 57s ) Vivian: I am looking for it, just a sec ( 7m 45s ) Jeff W: Thanks! ( 9m 24s ) Vivian: Ok, Oakdale #1 Leach ( 10m 8s ) Jeff W: I'll take a look... ( 10m 50s ) Vivian: Thank you! ( 11m 48s ) Jeff W: For security reasons, I'm unable to see the attachments for this tenancy. You are saying that you see a lease uploaded there? ( 12m 20s ) Vivian: Down at the very bottom under Files ( 13m 2s ) Jeff W: Just a moment while I troubleshoot this... ( 18m 43s ) Jeff W: Did you generate the leases within AppFolio and then print them for wet signatures? ( 19m 24s ) Vivian: No, we just started with Appfolio so this is an old lease. ( 21m 42s ) Jeff W: In order for the system to recognize this as a lease that will populate there, you will need to follow the steps of creating a lease as if it were a wet signature lease and you can see how to do that from this Help Article: ( 22m 23s ) Vivian: Ok, also how do I get a printout of this chat? ( 22m 53s ) Jeff W: I can email it to you after we are done. ( 23m 26s ) Vivian: Oh. you have to ask for it? There isn't an automated way to do it? ( 23m 51s ) Jeff W: Not that I know of :) ( 24m 16s ) Vivian: If you could email a copy that would be great! ( 25m 50s ) Jeff W: You bet! Have a great rest of your day! ( 26m 3s ) Vivian: Thank you Jeff and you as well! ( 26m 5s ) Jeff W: Thank you!"
